"city","key","origin","originName","target","targetName","mode","direction","group","commuters","source","geometry","directKm","routeKm","seconds","snapKm","activeEligible","geometryErrors","skippedReason"
"zurich","zurich:CH4061>CH261:transit:inbound","CH4061","Arni (AG)","CH261","Zürich","transit","inbound","swissInbound","244","FSO commune matrix 2020","missing","11.352034518705999","","","","false","",""
"zurich","zurich:CH4061>CH261:soft:inbound","CH4061","Arni (AG)","CH261","Zürich","soft","inbound","swissInbound","7","FSO commune matrix 2020","bicycle","11.352034518705999","14.352881263059565","2866.01","0.03977630190914353","true","",""
"zurich","zurich:CH1362>CH261:car:inbound","CH1362","Arth","CH261","Zürich","car","inbound","swissInbound","91","FSO commune matrix 2020","road","35.47172449055902","53.569023116038544","2823.96","0.04204937096827044","false","",""
"zurich","zurich:CH1362>CH261:transit:inbound","CH1362","Arth","CH261","Zürich","transit","inbound","swissInbound","223","FSO commune matrix 2020","rail","35.47172449055902","45.68674271489431","","","false","",""
"zurich","zurich:CH1362>CH261:soft:inbound","CH1362","Arth","CH261","Zürich","soft","inbound","swissInbound","6","FSO commune matrix 2020","missing","35.47172449055902","","","","false","",""
"zurich","zurich:CH1203>CH261:car:inbound","CH1203","Attinghausen","CH261","Zürich","car","inbound","swissInbound","2","FSO commune matrix 2020","missing","61.33519448758586","","","","false","",""
"zurich","zurich:CH1203>CH261:transit:inbound","CH1203","Attinghausen","CH261","Zürich","transit","inbound","swissInbound","5","FSO commune matrix 2020","missing","61.33519448758586","","","","false","",""
"zurich","zurich:CH4091>CH261:car:inbound","CH4091","Auenstein","CH261","Zürich","car","inbound","swissInbound","16","FSO commune matrix 2020","missing","31.40747175553846","","","","false","",""
"zurich","zurich:CH4091>CH261:transit:inbound","CH4091","Auenstein","CH261","Zürich","transit","inbound","swissInbound","41","FSO commune matrix 2020","missing","31.40747175553846","","","","false","",""
"zurich","zurich:CH4091>CH261:soft:inbound","CH4091","Auenstein","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","31.40747175553846","","","","false","",""
"zurich","zurich:CH4223>CH261:car:inbound","CH4223","Auw","CH261","Zürich","car","inbound","swissInbound","13","FSO commune matrix 2020","missing","22.571473691595852","","","","false","",""
"zurich","zurich:CH4223>CH261:transit:inbound","CH4223","Auw","CH261","Zürich","transit","inbound","swissInbound","33","FSO commune matrix 2020","missing","22.571473691595852","","","","false","",""
"zurich","zurich:CH4223>CH261:soft:inbound","CH4223","Auw","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","22.571473691595852","","","","true","",""
"zurich","zurich:CH1701>CH261:car:inbound","CH1701","Baar","CH261","Zürich","car","inbound","swissInbound","395","FSO commune matrix 2020","road","21.09391024290094","34.2159060714996","2030.111","0.003706331812949296","false","",""
"zurich","zurich:CH1701>CH261:transit:inbound","CH1701","Baar","CH261","Zürich","transit","inbound","swissInbound","974","FSO commune matrix 2020","rail","21.09391024290094","26.402653706962212","","","false","",""
"zurich","zurich:CH1701>CH261:soft:inbound","CH1701","Baar","CH261","Zürich","soft","inbound","swissInbound","28","FSO commune matrix 2020","bicycle","21.09391024290094","27.38404762820999","5838.555","0.003706331812949296","true","",""
"zurich","zurich:CH51>CH261:car:inbound","CH51","Bachenbülach","CH261","Zürich","car","inbound","swissInbound","125","FSO commune matrix 2020","road","13.81498557215873","18.486410787665022","1499.003","0.003035130375491455","false","",""
"zurich","zurich:CH51>CH261:transit:inbound","CH51","Bachenbülach","CH261","Zürich","transit","inbound","swissInbound","309","FSO commune matrix 2020","missing","13.81498557215873","","","","false","",""
"zurich","zurich:CH51>CH261:soft:inbound","CH51","Bachenbülach","CH261","Zürich","soft","inbound","swissInbound","9","FSO commune matrix 2020","bicycle","13.81498557215873","16.148402932304467","3429.4","0.003035130375491455","true","",""
"zurich","zurich:CH81>CH261:car:inbound","CH81","Bachs","CH261","Zürich","car","inbound","swissInbound","16","FSO commune matrix 2020","missing","18.814932894970863","","","","false","",""
"zurich","zurich:CH81>CH261:transit:inbound","CH81","Bachs","CH261","Zürich","transit","inbound","swissInbound","38","FSO commune matrix 2020","missing","18.814932894970863","","","","false","",""
"zurich","zurich:CH81>CH261:soft:inbound","CH81","Bachs","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","18.814932894970863","","","","true","",""
"zurich","zurich:CH4323>CH261:car:inbound","CH4323","Bad Zurzach","CH261","Zürich","car","inbound","swissInbound","40","FSO commune matrix 2020","road","30.08111478637818","44.28346243047435","3146.595","0.005000303088111829","false","",""
"zurich","zurich:CH4323>CH261:transit:inbound","CH4323","Bad Zurzach","CH261","Zürich","transit","inbound","swissInbound","97","FSO commune matrix 2020","missing","30.08111478637818","","","","false","",""
"zurich","zurich:CH4323>CH261:soft:inbound","CH4323","Bad Zurzach","CH261","Zürich","soft","inbound","swissInbound","3","FSO commune matrix 2020","missing","30.08111478637818","","","","false","",""
"zurich","zurich:CH4021>CH261:car:inbound","CH4021","Baden","CH261","Zürich","car","inbound","swissInbound","681","FSO commune matrix 2020","road","21.00374774476811","22.803002654480867","1767.205","0.002961222533051104","false","",""
"zurich","zurich:CH4021>CH261:transit:inbound","CH4021","Baden","CH261","Zürich","transit","inbound","swissInbound","1680","FSO commune matrix 2020","rail","21.00374774476811","22.691748187719963","","","false","",""
"zurich","zurich:CH4021>CH261:soft:inbound","CH4021","Baden","CH261","Zürich","soft","inbound","swissInbound","49","FSO commune matrix 2020","bicycle","21.00374774476811","22.597309806142903","4689.691","0.002961222533051104","true","",""
"zurich","zurich:CH4301>CH261:car:inbound","CH4301","Baldingen","CH261","Zürich","car","inbound","swissInbound","3","FSO commune matrix 2020","missing","26.203152500064025","","","","false","",""
"zurich","zurich:CH4301>CH261:transit:inbound","CH4301","Baldingen","CH261","Zürich","transit","inbound","swissInbound","7","FSO commune matrix 2020","missing","26.203152500064025","","","","false","",""
"zurich","zurich:CH1023>CH261:car:inbound","CH1023","Ballwil","CH261","Zürich","car","inbound","swissInbound","8","FSO commune matrix 2020","missing","30.108341238181094","","","","false","",""
"zurich","zurich:CH1023>CH261:transit:inbound","CH1023","Ballwil","CH261","Zürich","transit","inbound","swissInbound","20","FSO commune matrix 2020","rail","30.108341238181094","63.98558672283728","","","false","",""
"zurich","zurich:CH1023>CH261:soft:inbound","CH1023","Ballwil","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","30.108341238181094","","","","false","",""
"zurich","zurich:CH2422>CH261:car:inbound","CH2422","Balsthal","CH261","Zürich","car","inbound","swissInbound","4","FSO commune matrix 2020","missing","63.224492377447746","","","","false","",""
"zurich","zurich:CH2422>CH261:transit:inbound","CH2422","Balsthal","CH261","Zürich","transit","inbound","swissInbound","11","FSO commune matrix 2020","rail","63.224492377447746","76.35056052274703","","","false","",""
"zurich","zurich:CH111>CH261:car:inbound","CH111","Bäretswil","CH261","Zürich","car","inbound","swissInbound","75","FSO commune matrix 2020","road","24.939823435832924","32.943667026717286","2598.752","0.010891304677063422","false","",""
"zurich","zurich:CH111>CH261:transit:inbound","CH111","Bäretswil","CH261","Zürich","transit","inbound","swissInbound","185","FSO commune matrix 2020","missing","24.939823435832924","","","","false","",""
"zurich","zurich:CH111>CH261:soft:inbound","CH111","Bäretswil","CH261","Zürich","soft","inbound","swissInbound","5","FSO commune matrix 2020","missing","24.939823435832924","","","","false","",""
"zurich","zurich:CH2931>CH261:car:inbound","CH2931","Bargen (SH)","CH261","Zürich","car","inbound","swissInbound","1","FSO commune matrix 2020","missing","46.554028940318794","","","","false","",""
"zurich","zurich:CH2931>CH261:transit:inbound","CH2931","Bargen (SH)","CH261","Zürich","transit","inbound","swissInbound","4","FSO commune matrix 2020","missing","46.554028940318794","","","","false","",""
"zurich","zurich:CH4536>CH261:car:inbound","CH4536","Basadingen-Schlattingen","CH261","Zürich","car","inbound","swissInbound","11","FSO commune matrix 2020","missing","35.40585917610023","","","","false","",""
"zurich","zurich:CH4536>CH261:transit:inbound","CH4536","Basadingen-Schlattingen","CH261","Zürich","transit","inbound","swissInbound","28","FSO commune matrix 2020","rail","35.40585917610023","61.907649311190106","","","false","",""
"zurich","zurich:CH4536>CH261:soft:inbound","CH4536","Basadingen-Schlattingen","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","35.40585917610023","","","","false","",""
"zurich","zurich:CH52>CH261:car:inbound","CH52","Bassersdorf","CH261","Zürich","car","inbound","swissInbound","407","FSO commune matrix 2020","road","9.801779528740473","14.165153407644222","1416.097","0.015548018266925529","false","",""
"zurich","zurich:CH52>CH261:transit:inbound","CH52","Bassersdorf","CH261","Zürich","transit","inbound","swissInbound","1003","FSO commune matrix 2020","rail","9.801779528740473","14.227241598362355","","","false","",""
"zurich","zurich:CH52>CH261:soft:inbound","CH52","Bassersdorf","CH261","Zürich","soft","inbound","swissInbound","29","FSO commune matrix 2020","bicycle","9.801779528740473","11.705254116457454","2421.885","0.015548018266925529","true","",""
"zurich","zurich:CH297>CH261:car:inbound","CH297","Bauma","CH261","Zürich","car","inbound","swissInbound","58","FSO commune matrix 2020","road","26.278092507490964","33.90199230173258","2722.84","0.004772080750923075","false","",""
"zurich","zurich:CH297>CH261:transit:inbound","CH297","Bauma","CH261","Zürich","transit","inbound","swissInbound","143","FSO commune matrix 2020","rail","26.278092507490964","51.99850448821694","","","false","",""
"zurich","zurich:CH297>CH261:soft:inbound","CH297","Bauma","CH261","Zürich","soft","inbound","swissInbound","4","FSO commune matrix 2020","missing","26.278092507490964","","","","false","",""
"zurich","zurich:CH1501>CH261:car:inbound","CH1501","Beckenried","CH261","Zürich","car","inbound","swissInbound","7","FSO commune matrix 2020","missing","48.34071033505337","","","","false","",""
"zurich","zurich:CH1501>CH261:transit:inbound","CH1501","Beckenried","CH261","Zürich","transit","inbound","swissInbound","17","FSO commune matrix 2020","missing","48.34071033505337","","","","false","",""
"zurich","zurich:CH1501>CH261:soft:inbound","CH1501","Beckenried","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","48.34071033505337","","","","false","",""
"zurich","zurich:CH4224>CH261:car:inbound","CH4224","Beinwil (Freiamt)","CH261","Zürich","car","inbound","swissInbound","9","FSO commune matrix 2020","missing","22.35109641505648","","","","false","",""
"zurich","zurich:CH4224>CH261:transit:inbound","CH4224","Beinwil (Freiamt)","CH261","Zürich","transit","inbound","swissInbound","23","FSO commune matrix 2020","missing","22.35109641505648","","","","false","",""
"zurich","zurich:CH4224>CH261:soft:inbound","CH4224","Beinwil (Freiamt)","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","22.35109641505648","","","","true","",""
"zurich","zurich:CH4131>CH261:car:inbound","CH4131","Beinwil am See","CH261","Zürich","car","inbound","swissInbound","29","FSO commune matrix 2020","road","28.11320424350494","49.54473110565337","3279.804","0.013345094957829614","false","",""
"zurich","zurich:CH4131>CH261:transit:inbound","CH4131","Beinwil am See","CH261","Zürich","transit","inbound","swissInbound","71","FSO commune matrix 2020","rail","28.11320424350494","47.790796084137945","","","false","",""
"zurich","zurich:CH4131>CH261:soft:inbound","CH4131","Beinwil am See","CH261","Zürich","soft","inbound","swissInbound","2","FSO commune matrix 2020","missing","28.11320424350494","","","","false","",""
"zurich","zurich:CH4022>CH261:car:inbound","CH4022","Bellikon","CH261","Zürich","car","inbound","swissInbound","42","FSO commune matrix 2020","road","14.637414093244775","21.65233380380524","2040.737","0.004524309149197209","false","",""
"zurich","zurich:CH4022>CH261:transit:inbound","CH4022","Bellikon","CH261","Zürich","transit","inbound","swissInbound","104","FSO commune matrix 2020","missing","14.637414093244775","","","","false","",""
"zurich","zurich:CH4022>CH261:soft:inbound","CH4022","Bellikon","CH261","Zürich","soft","inbound","swissInbound","3","FSO commune matrix 2020","missing","14.637414093244775","","","","true","",""
"zurich","zurich:CH3312>CH261:car:inbound","CH3312","Benken (SG)","CH261","Zürich","car","inbound","swissInbound","30","FSO commune matrix 2020","road","39.970672354722076","54.35604600637421","2962.298","0.027005979540782665","false","",""
"zurich","zurich:CH3312>CH261:transit:inbound","CH3312","Benken (SG)","CH261","Zürich","transit","inbound","swissInbound","74","FSO commune matrix 2020","rail","39.970672354722076","49.726196944004336","","","false","",""
"zurich","zurich:CH3312>CH261:soft:inbound","CH3312","Benken (SG)","CH261","Zürich","soft","inbound","swissInbound","2","FSO commune matrix 2020","missing","39.970672354722076","","","","false","",""
