"city","key","origin","originName","target","targetName","mode","direction","group","commuters","source","geometry","directKm","routeKm","seconds","snapKm","activeEligible","geometryErrors","skippedReason","representedPeople"
"zurich","zurich:CH4061>CH261:transit:inbound","CH4061","Arni (AG)","CH261","Zürich","transit","inbound","swissInbound","217","FSO commune matrix 2020","missing","11.352034518705999","","","","false","","",""
"zurich","zurich:CH4061>CH261:soft:inbound","CH4061","Arni (AG)","CH261","Zürich","soft","inbound","swissInbound","76","FSO commune matrix 2020","bicycle","11.352034518705999","14.352881263059565","2866.01","0.03977630190914353","true","","","76"
"zurich","zurich:CH1362>CH261:car:inbound","CH1362","Arth","CH261","Zürich","car","inbound","swissInbound","52","FSO commune matrix 2020","road","35.47172449055902","53.569023116038544","2823.96","0.04204937096827044","false","","",""
"zurich","zurich:CH1362>CH261:transit:inbound","CH1362","Arth","CH261","Zürich","transit","inbound","swissInbound","198","FSO commune matrix 2020","rail","35.47172449055902","45.68674271489431","","","false","","","198"
"zurich","zurich:CH1362>CH261:soft:inbound","CH1362","Arth","CH261","Zürich","soft","inbound","swissInbound","70","FSO commune matrix 2020","missing","35.47172449055902","","","","false","","",""
"zurich","zurich:CH1203>CH261:car:inbound","CH1203","Attinghausen","CH261","Zürich","car","inbound","swissInbound","1","FSO commune matrix 2020","missing","61.33519448758586","","","","false","","",""
"zurich","zurich:CH1203>CH261:transit:inbound","CH1203","Attinghausen","CH261","Zürich","transit","inbound","swissInbound","4","FSO commune matrix 2020","missing","61.33519448758586","","","","false","","",""
"zurich","zurich:CH1203>CH261:soft:inbound","CH1203","Attinghausen","CH261","Zürich","soft","inbound","swissInbound","2","FSO commune matrix 2020","missing","61.33519448758586","","","","false","","",""
"zurich","zurich:CH4091>CH261:car:inbound","CH4091","Auenstein","CH261","Zürich","car","inbound","swissInbound","9","FSO commune matrix 2020","missing","31.40747175553846","","","","false","","",""
"zurich","zurich:CH4091>CH261:transit:inbound","CH4091","Auenstein","CH261","Zürich","transit","inbound","swissInbound","36","FSO commune matrix 2020","missing","31.40747175553846","","","","false","","",""
"zurich","zurich:CH4091>CH261:soft:inbound","CH4091","Auenstein","CH261","Zürich","soft","inbound","swissInbound","13","FSO commune matrix 2020","missing","31.40747175553846","","","","false","","",""
"zurich","zurich:CH4223>CH261:car:inbound","CH4223","Auw","CH261","Zürich","car","inbound","swissInbound","8","FSO commune matrix 2020","missing","22.571473691595852","","","","false","","",""
"zurich","zurich:CH4223>CH261:transit:inbound","CH4223","Auw","CH261","Zürich","transit","inbound","swissInbound","29","FSO commune matrix 2020","missing","22.571473691595852","","","","false","","",""
"zurich","zurich:CH4223>CH261:soft:inbound","CH4223","Auw","CH261","Zürich","soft","inbound","swissInbound","10","FSO commune matrix 2020","missing","22.571473691595852","","","","true","","",""
"zurich","zurich:CH1701>CH261:car:inbound","CH1701","Baar","CH261","Zürich","car","inbound","swissInbound","229","FSO commune matrix 2020","road","21.09391024290094","34.2159060714996","2030.111","0.003706331812949296","false","","",""
"zurich","zurich:CH1701>CH261:transit:inbound","CH1701","Baar","CH261","Zürich","transit","inbound","swissInbound","864","FSO commune matrix 2020","rail","21.09391024290094","26.402653706962212","","","false","","","864"
"zurich","zurich:CH1701>CH261:soft:inbound","CH1701","Baar","CH261","Zürich","soft","inbound","swissInbound","304","FSO commune matrix 2020","bicycle","21.09391024290094","27.38404762820999","5838.555","0.003706331812949296","true","","","304"
"zurich","zurich:CH51>CH261:car:inbound","CH51","Bachenbülach","CH261","Zürich","car","inbound","swissInbound","73","FSO commune matrix 2020","road","13.81498557215873","18.486410787665022","1499.003","0.003035130375491455","false","","",""
"zurich","zurich:CH51>CH261:transit:inbound","CH51","Bachenbülach","CH261","Zürich","transit","inbound","swissInbound","274","FSO commune matrix 2020","missing","13.81498557215873","","","","false","","",""
"zurich","zurich:CH51>CH261:soft:inbound","CH51","Bachenbülach","CH261","Zürich","soft","inbound","swissInbound","96","FSO commune matrix 2020","bicycle","13.81498557215873","16.148402932304467","3429.4","0.003035130375491455","true","","","96"
"zurich","zurich:CH81>CH261:car:inbound","CH81","Bachs","CH261","Zürich","car","inbound","swissInbound","9","FSO commune matrix 2020","missing","18.814932894970863","","","","false","","",""
"zurich","zurich:CH81>CH261:transit:inbound","CH81","Bachs","CH261","Zürich","transit","inbound","swissInbound","34","FSO commune matrix 2020","missing","18.814932894970863","","","","false","","",""
"zurich","zurich:CH81>CH261:soft:inbound","CH81","Bachs","CH261","Zürich","soft","inbound","swissInbound","12","FSO commune matrix 2020","missing","18.814932894970863","","","","true","","",""
"zurich","zurich:CH4323>CH261:car:inbound","CH4323","Bad Zurzach","CH261","Zürich","car","inbound","swissInbound","23","FSO commune matrix 2020","road","30.08111478637818","44.28346243047435","3146.595","0.005000303088111829","false","","",""
"zurich","zurich:CH4323>CH261:transit:inbound","CH4323","Bad Zurzach","CH261","Zürich","transit","inbound","swissInbound","87","FSO commune matrix 2020","missing","30.08111478637818","","","","false","","",""
