"city","minute","carNow","transitNow","activeNow","populationChange","vsDailyAverage","routeDerivedCarPopulation","curveCarPopulationSameCoverage"
"zurich","955","2499","19577","2094","150350","76261","25397","22722"
"zurich","960","2833","20197","3029","147891","73802","24982","22348"
"zurich","965","3169","20962","2929","145293","71204","24536","21954"
"zurich","970","3505","23074","3948","142556","68467","24060","21538"
"zurich","975","3841","23538","4230","139679","65590","23552","21101"
"zurich","980","4177","22676","5861","136664","62575","23014","20643"
"zurich","985","4514","23158","6811","133513","59424","22445","20165"
"zurich","990","4850","22723","7874","130230","56141","21845","19667"
"zurich","995","5187","23227","8817","126820","52731","21214","19150"
"zurich","1000","5523","23617","9296","123290","49201","20553","18614"
"zurich","1005","5860","24251","9705","119649","45560","19861","18062"
"zurich","1010","6196","24619","9583","115906","41817","19137","17495"
"zurich","1015","6533","26343","10437","112072","37983","18383","16914"
"zurich","1020","6869","27465","10924","108159","34070","17599","16321"
"zurich","1025","7206","27380","11483","104182","30093","16783","15718"
"zurich","1030","7543","27414","11456","100155","26066","15937","15109"
"zurich","1035","7879","28021","11199","96093","22004","15059","14494"
"zurich","1040","8216","27964","11863","92013","17924","14151","13876"
"zurich","1045","8553","26210","12577","87931","13842","13213","13259"
"zurich","1050","8889","26267","13188","83862","9773","12243","12643"
"zurich","1055","9174","25996","13186","79824","5735","11284","12033"
"zurich","1060","9356","26668","13300","75832","1743","10376","11429"
"zurich","1065","9435","26970","13665","71900","-2189","9520","10835"
"zurich","1070","9411","27611","14121","68043","-6046","8715","10252"
"zurich","1075","9291","27399","14055","64274","-9815","7959","9683"
"zurich","1080","9095","29524","13754","60604","-13485","7245","9129"
"zurich","1085","8842","28367","14305","57043","-17046","6571","8592"
"zurich","1090","8554","30306","14393","53601","-20488","5933","8072"
"zurich","1095","8246","30350","14082","50284","-23805","5328","7572"
"zurich","1100","7924","29151","13367","47098","-26991","4755","7091"
"zurich","1105","7596","30168","13823","44048","-30041","4215","6631"
"zurich","1110","7263","30141","13632","41136","-32953","3705","6192"
"zurich","1115","6929","31700","12207","38364","-35725","3226","5774"
"zurich","1120","6594","30484","11591","35732","-38357","2778","5377"
"zurich","1125","6258","30782","10848","33240","-40849","2361","5002"
"zurich","1130","5922","29776","10723","30886","-43203","1975","4647"
"zurich","1135","5586","28669","10626","28667","-45422","1620","4313"
"zurich","1140","5249","30073","10892","26580","-47509","1295","3998"
"zurich","1145","4913","30198","10610","24621","-49468","1002","3703"
"zurich","1150","4577","30013","9764","22786","-51303","739","3427"
"zurich","1155","4241","28597","8698","21070","-53019","507","3169"
"zurich","1160","3904","25866","8631","19468","-54621","305","2927"
"zurich","1165","3568","20697","7913","17974","-56115","135","2703"
"zurich","1170","3231","17918","7680","16583","-57506","-5","2493"
"zurich","1175","2895","15276","7857","15291","-58798","-114","2299"
"zurich","1180","2558","12500","7461","14090","-59999","-192","2118"
"zurich","1185","2222","9164","7098","12977","-61112","-239","1951"
"zurich","1190","1885","6444","6393","11946","-62143","-255","1796"
"zurich","1195","1549","4637","6119","10991","-63098","-241","1652"
"zurich","1200","1212","3143","5416","10108","-63981","-196","1519"
"zurich","1205","901","2926","4648","9293","-64796","-140","1397"
"zurich","1210","642","2214","3767","8540","-65549","-95","1283"
"zurich","1215","434","1432","2807","7845","-66244","-60","1179"
"zurich","1220","277","964","2211","7205","-66884","-36","1083"
"zurich","1225","169","873","1839","6615","-67474","-20","994"
"zurich","1230","99","505","1443","6071","-68018","-11","912"
"zurich","1235","57","485","1272","5571","-68518","-6","837"
"zurich","1240","32","282","1134","5111","-68978","-3","768"
"zurich","1245","18","137","1134","4688","-69401","-1","704"
"zurich","1250","11","97","982","4299","-69790","-1","646"
"zurich","1255","7","37","515","3942","-70147","0","592"
"zurich","1260","5","27","332","3614","-70475","0","543"
